User_ID,Income,Expense,Savings,Debt_Payment,Transaction_Count,Savings_Ratio,Debt_Burden,Spending_Ratio,Health_Score,Category
U1000,45795,31698,14097,10357,97,0.3078283655420897,0.226160061142046,0.6921716344579103,44.76,Risky
U1001,30860,12799,18061,17154,21,0.5852559948152949,0.5558651976668827,0.4147440051847051,54.29,Risky
U1002,133694,78497,55197,4363,138,0.4128607117746495,0.0326342244229359,0.5871392882253504,57.92,Risky
U1003,149879,90701,59178,10176,56,0.3948385030591343,0.0678947684465468,0.6051614969408656,55.6,Risky
U1004,140268,124057,16211,17461,88,0.1155716200416345,0.124483132289617,0.8844283799583654,34.36,Vulnerable
U1005,106820,74824,31996,8427,60,0.2995319228608875,0.0788897210260251,0.7004680771391125,48.6,Risky
U1006,84886,42046,42840,8580,81,0.5046768607308626,0.1010767382136041,0.4953231392691374,62.3,Moderate
U1007,36265,22034,14231,4858,79,0.3924169309251344,0.1339583620570798,0.6075830690748656,53.45,Risky
U1008,112386,92805,19581,10040,144,0.1742298862847685,0.089334970547933,0.8257701137152315,39.52,Vulnerable
U1009,67194,30963,36231,19198,130,0.5391999285650505,0.2857100336339554,0.4608000714349495,59.17,Risky
U1010,117498,91707,25791,19758,33,0.2195016085380176,0.1681560537200633,0.7804983914619823,40.32,Risky
U1011,142727,88346,54381,15254,103,0.381014103848606,0.1068753634561085,0.6189858961513939,53.46,Risky
U1012,74131,33406,40725,11470,149,0.5493653127571462,0.1547260929975314,0.4506346872428539,63.81,Moderate
U1013,90263,66179,24084,1252,89,0.2668202918139215,0.0138705781992621,0.7331797081860785,48.26,Risky
U1014,46023,26624,19399,6996,142,0.4215066379853551,0.152010951046216,0.5784933620146449,54.95,Risky
U1015,71090,38630,32460,12173,108,0.4566043044028696,0.1712336474890983,0.5433956955971304,56.83,Risky
U1016,97221,51541,45680,4673,47,0.4698573353493587,0.0480657471122494,0.5301426646506413,61.45,Moderate
U1017,94820,68613,26207,15781,85,0.2763868382197849,0.1664311326724319,0.7236131617802152,44.35,Risky
U1018,30769,14269,16500,13051,24,0.5362540219051642,0.424160681205109,0.4637459780948357,54.81,Risky
U1019,89735,56357,33378,6881,64,0.3719618877806875,0.0766813394996378,0.6280381122193124,53.74,Risky
U1020,92955,67422,25533,6949,66,0.2746812974019686,0.0747566026571997,0.7253187025980313,46.98,Risky
U1021,94925,70011,24914,9521,50,0.2624598367131946,0.1003002370292336,0.7375401632868054,45.36,Risky
U1022,97969,44502,53467,8017,29,0.5457542692076065,0.0818320080841899,0.4542457307923935,65.75,Moderate
U1023,35311,15617,19694,6941,137,0.5577298858712583,0.1965676418113335,0.4422701141287417,63.14,Moderate
U1024,133355,89523,43832,10209,33,0.3286865884293802,0.076555059802782,0.6713134115706197,50.71,Risky
U1025,134724,65011,69713,17715,99,0.5174504913749591,0.1314910483655473,0.4825495086250408,62.28,Moderate
U1026,113104,58212,54892,9550,112,0.4853232423256472,0.0844355637289574,0.5146767576743528,61.44,Moderate
U1027,83707,42764,40943,4637,29,0.4891227734836991,0.0553956061022375,0.5108772265163009,62.58,Moderate
U1028,115305,92751,22554,4854,95,0.1956029660465721,0.042097046962404,0.8043970339534279,42.43,Risky
U1029,58693,27532,31161,19561,113,0.5309151006082498,0.3332765406436883,0.4690848993917503,57.17,Risky
U1030,101932,89988,11944,10320,124,0.1171761566534552,0.1012439665659459,0.8828238433465447,35.17,Vulnerable
U1031,123016,58489,64527,18564,20,0.5245415230539117,0.1509071990635364,0.4754584769460883,62.19,Moderate
U1032,136970,111986,24984,4892,39,0.1824049061838358,0.0357158501861721,0.8175950938161641,41.7,Risky
U1033,55658,34487,21171,7043,27,0.3803765855761974,0.1265406590247583,0.6196234144238025,52.83,Risky
U1034,114478,50300,64178,16521,20,0.5606142664966194,0.1443159384335855,0.4393857335033805,64.91,Moderate
U1035,48431,33328,15103,19856,76,0.3118457186512771,0.4099853399682022,0.6881542813487229,39.53,Vulnerable
U1036,32747,12602,20145,19216,83,0.6151708553455278,0.5868018444437658,0.3848291446544721,55.46,Risky
U1037,89150,49221,39929,19963,137,0.4478855860908581,0.2239259674705552,0.5521144139091418,54.63,Risky
U1038,95725,53887,41838,4164,47,0.4370645077043614,0.0434996082528075,0.5629354922956386,59.29,Risky
U1039,114654,83031,31623,7941,140,0.2758124443979277,0.0692605578523209,0.7241875556020724,47.23,Risky
U1040,65773,59149,6624,14388,126,0.1007100177884542,0.2187523755948489,0.8992899822115458,30.49,Vulnerable
U1041,149346,92874,56472,5569,68,0.3781286408742115,0.037289247787018,0.6218713591257884,55.35,Risky
U1042,97435,45274,52161,4300,139,0.5353415097244316,0.0441319854261815,0.4646584902755683,66.15,Moderate
U1043,86886,46800,40086,6269,63,0.4613631655272426,0.0721520152843956,0.5386368344727575,60.13,Moderate
U1044,96803,37148,59655,3818,75,0.6162515624515769,0.0394409264175697,0.3837484375484231,71.95,Moderate
U1045,61551,47709,13842,12015,130,0.2248866793390846,0.1952039771896476,0.7751133206609153,39.89,Vulnerable
U1046,146216,72487,73729,12234,127,0.5042471412157357,0.0836707337090332,0.4957528587842644,62.79,Moderate
U1047,41394,33477,7917,18290,133,0.1912596028409914,0.4418514760593323,0.8087403971590086,30.13,Vulnerable
U1048,99092,78861,20231,6254,97,0.204163807370928,0.0631130666451378,0.795836192629072,42.4,Risky
U1049,33890,17767,16123,17144,149,0.475745057539097,0.5058719386249632,0.5242549424609029,48.13,Risky
U1050,71606,42359,29247,7350,56,0.4084434265285032,0.1026450297461106,0.5915565734714968,55.51,Risky
U1051,126276,46207,80069,15183,39,0.6340793183186036,0.120236624536729,0.3659206816813963,70.78,Moderate
U1052,110038,89107,20931,6238,45,0.19021610716298,0.0566895072611279,0.8097838928370199,41.61,Risky
U1053,117313,95757,21556,6090,48,0.1837477517410687,0.0519124052747777,0.8162522482589313,41.3,Risky
U1054,40627,25465,15162,11637,20,0.3732000886110222,0.2864351293474783,0.6267999113889777,47.53,Risky
U1055,38792,27367,11425,12647,138,0.2945194885543411,0.3260208290369148,0.7054805114456589,40.84,Risky
U1056,138859,60338,78521,9911,54,0.5654728897658776,0.07137455980527,0.4345271102341224,67.44,Moderate
U1057,138557,95992,42565,8472,78,0.3072020901145377,0.0611445109233023,0.6927979098854623,49.67,Risky
U1058,103969,47509,56460,18271,88,0.5430464850099549,0.1757350748780886,0.4569535149900451,62.74,Moderate
U1059,73001,34317,38684,3266,31,0.5299105491705594,0.0447391131628333,0.4700894508294407,65.75,Moderate
U1060,106552,60145,46407,666,39,0.4355338238606502,0.0062504692544485,0.5644661761393498,60.3,Moderate
U1061,53897,32566,21331,4188,62,0.3957734196708536,0.0777037682987921,0.6042265803291463,55.37,Risky
U1062,98148,35280,62868,17055,145,0.6405428536495904,0.1737681868199046,0.3594571463504096,69.62,Moderate
U1063,53483,30670,22813,10161,69,0.4265467531739057,0.1899856029018566,0.5734532468260942,54.16,Risky
U1064,78555,53533,25022,11314,48,0.3185284195786391,0.1440264782636369,0.6814715804213608,47.98,Risky
U1065,47159,32350,14809,12891,58,0.3140227740198053,0.2733518522445344,0.6859772259801946,43.78,Risky
U1066,140510,66616,73894,4777,57,0.5258985125613835,0.033997580243399,0.4741014874386164,65.79,Moderate
U1067,136530,96300,40230,3900,103,0.2946605141727093,0.02856515051637,0.7053394858272907,49.77,Risky
U1068,110077,44270,65807,13716,147,0.5978269756624908,0.1246036865103518,0.4021730243375092,68.11,Moderate
U1069,65920,41356,24564,6981,145,0.372633495145631,0.1059010922330097,0.627366504854369,52.91,Risky
U1070,122067,85140,36927,6376,64,0.3025141930251419,0.0522336094112249,0.6974858069748581,49.61,Risky
U1071,97121,73740,23381,16907,71,0.2407409314154508,0.1740818154673036,0.7592590685845492,41.63,Risky
U1072,99479,41886,57593,18777,99,0.5789463102765408,0.1887534052413072,0.4210536897234592,64.86,Moderate
U1073,119475,84175,35300,18977,143,0.2954593011090186,0.158836576689684,0.7045406988909814,45.92,Risky
U1074,49457,37108,12349,10160,138,0.2496916513334816,0.2054309804476616,0.7503083486665184,41.32,Risky
U1075,96557,67004,29553,14124,27,0.3060679184316,0.146276292759717,0.6939320815684,47.04,Risky
U1076,107189,65742,41447,16282,104,0.3866721398650981,0.1518999151032288,0.6133278601349019,52.51,Risky
U1077,139109,118876,20233,10488,148,0.1454470954431417,0.0753941154059047,0.8545529045568583,37.92,Vulnerable
U1078,108953,62456,46497,5240,27,0.4267619982928419,0.04809413233229,0.5732380017071581,58.43,Risky
U1079,82995,71186,11809,10453,115,0.1422856798602325,0.1259473462256762,0.8577143201397674,36.18,Vulnerable
U1080,70757,32361,38396,10478,121,0.5426459572904447,0.1480842884802917,0.4573540427095552,63.54,Moderate
U1081,39692,28217,11475,12394,24,0.2891010783029326,0.3122543585609191,0.7108989216970674,40.87,Risky
U1082,75758,63741,12017,19262,105,0.1586235117083344,0.2542569761609335,0.8413764882916656,33.48,Vulnerable
U1083,102409,42434,59975,4432,53,0.5856418869435304,0.0432774463181946,0.4143581130564696,69.7,Moderate
U1084,101211,84537,16674,13568,74,0.1647449387912381,0.1340565748782247,0.8352550612087619,37.51,Vulnerable
U1085,95697,59326,36371,14178,138,0.3800641608409877,0.1481551145803943,0.6199358391590123,52.16,Risky
U1086,67065,35298,31767,17660,133,0.4736747931111608,0.2633266234250354,0.5263252068888392,55.26,Risky
U1087,122093,69149,52944,302,45,0.4336366540260293,0.0024735242806712,0.5663633459739706,60.28,Moderate
U1088,129299,63947,65352,17022,66,0.5054331433344419,0.1316483499485688,0.4945668566655581,61.43,Moderate
U1089,62606,36050,26556,55,132,0.4241765964923489,0.0008785100469603,0.575823403507651,59.67,Risky
U1090,41534,37188,4346,13013,95,0.1046371647325083,0.3133095776953821,0.8953628352674917,27.93,Vulnerable
U1091,124663,96793,27870,8717,91,0.2235627251068881,0.0699245164964744,0.7764372748931119,43.55,Risky
U1092,70397,26807,43590,8150,108,0.61920252283478,0.1157719789195562,0.3807974771652201,69.87,Moderate
U1093,121387,64537,56850,2125,65,0.4683368070715974,0.0175059932282699,0.5316631929284026,62.26,Moderate
U1094,31016,17168,13848,11479,52,0.4464792365230848,0.3700993035852463,0.5535207634769151,50.15,Risky
U1095,119789,49962,69827,15745,20,0.5829166284049454,0.1314394476955313,0.4170833715950546,66.86,Moderate
U1096,85591,61734,23857,16748,50,0.2787325770232851,0.1956747788903038,0.7212674229767149,43.64,Risky
U1097,119812,69668,50144,6809,72,0.4185223516843054,0.0568307014322438,0.5814776483156946,57.59,Risky
